
year,province,registered_electors,votes_cast,source_url
2000,Alberta,2094001,1259794,https://www.elections.ca/scripts/OVR2004/23/table4.html
2000,British Columbia/Colombie-Britannique,2574322,1621101,https://www.elections.ca/scripts/OVR2004/23/table4.html
2000,Manitoba,786309,490083,https://www.elections.ca/scripts/OVR2004/23/table4.html
2000,New Brunswick/Nouveau-Brunswick,571569,387178,https://www.elections.ca/scripts/OVR2004/23/table4.html
2000,Newfoundland and Labrador/Terre-Neuve-et-Labrador,405210,231178,https://www.elections.ca/scripts/OVR2004/23/table4.html
2000,Northwest Territories/Territoires du Nord-Ouest,24716,12912,https://www.elections.ca/scripts/OVR2004/23/table4.html
2000,Nova Scotia/Nouvelle-Écosse,694984,437375,https://www.elections.ca/scripts/OVR2004/23/table4.html
2000,Nunavut,14369,7773,https://www.elections.ca/scripts/OVR2004/23/table4.html
2000,Ontario,7713744,4474001,https://www.elections.ca/scripts/OVR2004/23/table4.html
2000,Prince Edward Island/Île-du-Prince-Édouard,103034,74888,https://www.elections.ca/scripts/OVR2004/23/table4.html
2000,Quebec/Québec,5542169,3552551,https://www.elections.ca/scripts/OVR2004/23/table4.html
2000,Saskatchewan,698145,435079,https://www.elections.ca/scripts/OVR2004/23/table4.html
2000,Yukon,20901,13272,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,Alberta,2171584,1278932,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,British Columbia/Colombie-Britannique,2750577,1739999,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,Manitoba,841061,476512,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,New Brunswick/Nouveau-Brunswick,597440,374952,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,Newfoundland and Labrador/Terre-Neuve-et-Labrador,405032,199536,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,Northwest Territories/Territoires du Nord-Ouest,28619,13546,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,Nova Scotia/Nouvelle-Écosse,706932,440450,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,Nunavut,17041,7475,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,Ontario,8294928,5127387,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,Prince Edward Island/Île-du-Prince-Édouard,109031,77143,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,Quebec/Québec,5800109,3507100,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,Saskatchewan,723922,427960,https://www.elections.ca/scripts/OVR2004/23/table4.html
2004,Yukon,20345,12578,https://www.elections.ca/scripts/OVR2004/23/table4.html
2006,Alberta,2322108,1436655,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2006,British Columbia/Colombie-Britannique,2875950,1832557,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2006,Manitoba,831278,517557,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2006,New Brunswick/Nouveau-Brunswick,594104,410918,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2006,Newfoundland and Labrador/Terre-Neuve-et-Labrador,403982,228961,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2006,Northwest Territories/Territoires du Nord-Ouest,28792,16186,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2006,Nova Scotia/Nouvelle-Écosse,750829,479580,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2006,Nunavut,17088,9251,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2006,Ontario,8536359,5682366,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2006,Prince Edward Island/Île-du-Prince-Édouard,107677,78829,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2006,Quebec/Québec,5852528,3737849,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2006,Saskatchewan,712427,463788,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2006,Yukon,21493,14206,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,Alberta,2433695,1274992,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,British Columbia/Colombie-Britannique,2996864,1799892,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,Manitoba,835401,468743,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,New Brunswick/Nouveau-Brunswick,590984,371586,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,Newfoundland and Labrador/Terre-Neuve-et-Labrador,410411,195669,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,Northwest Territories/Territoires du Nord-Ouest,28787,13733,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,Nova Scotia/Nouvelle-Écosse,727875,438551,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,Nunavut,17089,8092,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,Ontario,8834987,5177150,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,Prince Edward Island/Île-du-Prince-Édouard,108211,74636,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,Quebec/Québec,5954763,3671728,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,Saskatchewan,715291,419600,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2008,Yukon,23281,14721,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,Alberta,2509390,1400674,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,British Columbia/Colombie-Britannique,3109917,1879304,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,Manitoba,831041,493340,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,New Brunswick/Nouveau-Brunswick,592818,392208,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,414779,218166,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,Northwest Territories/Territoires du Nord-Ouest,29020,15655,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,Nova Scotia/Nouvelle-Écosse,733094,454266,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,Nunavut,17349,7931,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,Ontario,9033266,5556608,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,Prince Edward Island/Île-du-Prince-Édouard,108456,79511,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,Quebec/Québec,6130307,3853120,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,Saskatchewan,723814,456501,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2011,Yukon,24341,16124,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,Alberta,2842504,1937228,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,British Columbia/Colombie-Britannique,3392598,2374317,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,Manitoba,887983,603240,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,New Brunswick/Nouveau-Brunswick,597542,444459,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,Newfoundland and Labrador/Terre-Neuve-et-Labrador,421038,257389,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,Northwest Territories/Territoires du Nord-Ouest,30110,19077,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,Nova Scotia/Nouvelle-Écosse,742931,526069,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,Nunavut,20252,12023,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,Ontario,9691517,6572378,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,Prince Edward Island/Île-du-Prince-Édouard,113505,87868,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,Quebec/Québec,6393478,4303758,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,Saskatchewan,779405,553792,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2015,Yukon,26879,20385,https://www.elections.ca/res/rep/off/ovr2015app/41/table4E.html
2019,Alberta,3023980,2093981,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2019,British Columbia/Colombie-Britannique,3641258,2402554,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2019,Manitoba,927347,595998,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2019,New Brunswick/Nouveau-Brunswick,616704,444356,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2019,Newfoundland and Labrador/Terre-Neuve-et-Labrador,420067,246889,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2019,Northwest Territories/Territoires du Nord-Ouest,30704,16416,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2019,Nova Scotia/Nouvelle-Écosse,771411,538738,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2019,Nunavut,20025,9542,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2019,Ontario,10484419,6947807,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2019,Prince Edward Island/Île-du-Prince-Édouard,116721,86362,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2019,Quebec/Québec,6482847,4360030,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2019,Saskatchewan,807984,586536,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2019,Yukon,29591,21150,https://open.canada.ca/data/en/dataset/42d6a5c7-7b6b-4483-828f-67b72e4de121
2021,Alberta,3033419,1954910,https://www.elections.ca/res/rep/off/ovr2021app/45/table3.csv
2021,British Columbia/Colombie-Britannique,3713048,2279961,https://www.elections.ca/res/rep/off/ovr2021app/45/table3.csv
2021,Manitoba,931927,577577,https://www.elections.ca/res/rep/off/ovr2021app/45/table3.csv
2021,New Brunswick/Nouveau-Brunswick,622974,400901,https://www.elections.ca/res/rep/off/ovr2021app/45/table3.csv
2021,Newfoundland and Labrador/Terre-Neuve-et-Labrador,418226,220631,https://www.elections.ca/res/rep/off/ovr2021app/45/table3.csv
2021,Northwest Territories/Territoires du Nord-Ouest,30519,14250,https://www.elections.ca/res/rep/off/ovr2021app/45/table3.csv
2021,Nova Scotia/Nouvelle-Écosse,779247,492740,https://www.elections.ca/res/rep/off/ovr2021app/45/table3.csv
2021,Nunavut,21499,7267,https://www.elections.ca/res/rep/off/ovr2021app/45/table3.csv
2021,Ontario,10492441,6505569,https://www.elections.ca/res/rep/off/ovr2021app/45/table3.csv
2021,Prince Edward Island/Île-du-Prince-Édouard,118964,85277,https://www.elections.ca/res/rep/off/ovr2021app/45/table3.csv
2021,Quebec/Québec,6508575,4132267,https://www.elections.ca/res/rep/off/ovr2021app/45/table3.csv
