Year,Party,VoteShare,Source
2000,Liberal Party of Canada,40.8,https://www.sfu.ca/~aheard/elections/1867-present.html
2000,Canadian Alliance,25.5,https://www.sfu.ca/~aheard/elections/1867-present.html
2000,Progressive Conservative Party,12.2,https://www.sfu.ca/~aheard/elections/1867-present.html
2000,Bloc Québécois,10.7,https://www.sfu.ca/~aheard/elections/1867-present.html
2000,New Democratic Party (NDP),8.5,https://www.sfu.ca/~aheard/elections/1867-present.html
2000,Other parties,2.3,https://www.sfu.ca/~aheard/elections/1867-present.html
2004,Liberal Party of Canada,36.7,https://www.sfu.ca/~aheard/elections/1867-present.html
2004,Conservative Party of Canada,29.6,https://www.sfu.ca/~aheard/elections/1867-present.html
2004,New Democratic Party (NDP),15.7,https://www.sfu.ca/~aheard/elections/1867-present.html
2004,Bloc Québécois,12.4,https://www.sfu.ca/~aheard/elections/1867-present.html
2004,Green Party of Canada,4.3,https://www.sfu.ca/~aheard/elections/1867-present.html
2004,Other parties,1.4,https://www.sfu.ca/~aheard/elections/1867-present.html
2006,Conservative Party of Canada,36.3,https://www.sfu.ca/~aheard/elections/1867-present.html
2006,Liberal Party of Canada,30.2,https://www.sfu.ca/~aheard/elections/1867-present.html
2006,New Democratic Party (NDP),17.5,https://www.sfu.ca/~aheard/elections/1867-present.html
2006,Bloc Québécois,10.5,https://www.sfu.ca/~aheard/elections/1867-present.html
2006,Green Party of Canada,4.5,https://www.sfu.ca/~aheard/elections/1867-present.html
2006,Other parties,1.4,https://www.sfu.ca/~aheard/elections/1867-present.html
2008,Conservative Party of Canada,37.6,https://www.sfu.ca/~aheard/elections/1867-present.html
2008,Liberal Party of Canada,26.2,https://www.sfu.ca/~aheard/elections/1867-present.html
2008,New Democratic Party (NDP),18.2,https://www.sfu.ca/~aheard/elections/1867-present.html
2008,Bloc Québécois,10.0,https://www.sfu.ca/~aheard/elections/1867-present.html
2008,Green Party of Canada,6.8,https://www.sfu.ca/~aheard/elections/1867-present.html
2008,Other parties,1.2,https://www.sfu.ca/~aheard/elections/1867-present.html
2011,Conservative Party of Canada,39.6,https://www.sfu.ca/~aheard/elections/1867-present.html
2011,New Democratic Party (NDP),30.6,https://www.sfu.ca/~aheard/elections/1867-present.html
2011,Liberal Party of Canada,18.9,https://www.sfu.ca/~aheard/elections/1867-present.html
2011,Bloc Québécois,6.0,https://www.sfu.ca/~aheard/elections/1867-present.html
2011,Green Party of Canada,3.9,https://www.sfu.ca/~aheard/elections/1867-present.html
2011,Other parties,0.8,https://www.sfu.ca/~aheard/elections/1867-present.html
2015,Liberal Party of Canada,39.5,https://www.sfu.ca/~aheard/elections/1867-present.html
2015,Conservative Party of Canada,31.9,https://www.sfu.ca/~aheard/elections/1867-present.html
2015,New Democratic Party (NDP),19.7,https://www.sfu.ca/~aheard/elections/1867-present.html
2015,Bloc Québécois,4.7,https://www.sfu.ca/~aheard/elections/1867-present.html
2015,Green Party of Canada,3.4,https://www.sfu.ca/~aheard/elections/1867-present.html
2015,Other parties,0.8,https://www.sfu.ca/~aheard/elections/1867-present.html
2019,Conservative Party of Canada,34.3,https://www.sfu.ca/~aheard/elections/1867-present.html
2019,Liberal Party of Canada,33.1,https://www.sfu.ca/~aheard/elections/1867-present.html
2019,New Democratic Party (NDP),16.0,https://www.sfu.ca/~aheard/elections/1867-present.html
2019,Bloc Québécois,7.6,https://www.sfu.ca/~aheard/elections/1867-present.html
2019,Green Party of Canada,6.5,https://www.sfu.ca/~aheard/elections/1867-present.html
2019,Other parties,2.5,https://www.sfu.ca/~aheard/elections/1867-present.html
2019,People's Party of Canada,1.6,https://www.sfu.ca/~aheard/elections/1867-present.html
2021,Conservative Party of Canada,33.7,https://www.sfu.ca/~aheard/elections/1867-present.html
2021,Liberal Party of Canada,32.6,https://www.sfu.ca/~aheard/elections/1867-present.html
2021,New Democratic Party (NDP),17.8,https://www.sfu.ca/~aheard/elections/1867-present.html
2021,Bloc Québécois,7.6,https://www.sfu.ca/~aheard/elections/1867-present.html
2021,People's Party of Canada,4.9,https://www.sfu.ca/~aheard/elections/1867-present.html
2021,Green Party of Canada,2.3,https://www.sfu.ca/~aheard/elections/1867-present.html
2021,Other parties,1.1,https://www.sfu.ca/~aheard/elections/1867-present.html
2025,Liberal Party of Canada,43.76,https://researchbriefings.files.parliament.uk/documents/CBP-10244/CBP-10244.pdf
2025,Conservative Party of Canada,41.31,https://researchbriefings.files.parliament.uk/documents/CBP-10244/CBP-10244.pdf
2025,Bloc Québécois,6.29,https://researchbriefings.files.parliament.uk/documents/CBP-10244/CBP-10244.pdf
2025,New Democratic Party (NDP),6.29,https://researchbriefings.files.parliament.uk/documents/CBP-10244/CBP-10244.pdf
2025,Green Party of Canada,1.22,https://researchbriefings.files.parliament.uk/documents/CBP-10244/CBP-10244.pdf
2025,Others,1.13,https://researchbriefings.files.parliament.uk/documents/CBP-10244/CBP-10244.pdf
