election_id,event_number,electoral_district_number_numéro_de_circonscription,ballot_sequence_number,candidate_candidat,candidate_first_name_prénom_du_candidat,candidate_middle_name_second_prénom_du_candidat,candidate_family_name_nom_de_famille_du_candidat,candidate_gender_code,candidate_occupation_english_anglais,profession_du_candidat_français_french,incumbent_indicator_indicateur_candidat_sortant,elected_candidate_indicator_indicateur_du_candidat_élu,candidate_residence_résidence_du_candidat,candidate_province_english_anglais,province_du_candidat_français_french,party_abbreviation_english_anglais,abréviation_de_parti_français_french
GE.36.1997,3600,ED10-001,1,Randy Dawe,Randy,Randy,Dawe,M,Businessperson,Personne d'affaires,FALSE,FALSE,Clarke's Beach,Newfoundland and Labrador,Terre-Neuve-et-Labrador,PC,PC
GE.36.1997,3600,ED10-001,2,Fraser March,Fraser,Fraser,March,M,Labour Relations Consultant,Consultant en relations de travail,FALSE,FALSE,Blaketown,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NDP,NPD
GE.36.1997,3600,ED10-001,3,Fred J. Mifflin,Fred,Fred,Mifflin,M,Politician,Politicien,TRUE,TRUE,Ottawa,Ontario,Ontario,Liberal,Libéral
GE.36.1997,3600,ED10-001,4,L. Christopher Randell,L.,L.,Randell,M,Medical Doctor,Médecin,FALSE,FALSE,Bonavista,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Nil,Nil
GE.36.1997,3600,ED10-002,1,Bill Matthews,Bill,Bill,Matthews,M,Teacher,Enseignant,FALSE,TRUE,Mount Pearl,Newfoundland and Labrador,Terre-Neuve-et-Labrador,PC,PC
GE.36.1997,3600,ED10-002,2,Roger Simmons,Roger,Roger,Simmons,M,Educator,Éducateur,TRUE,FALSE,Nepean,Ontario,Ontario,Liberal,Libéral
GE.36.1997,3600,ED10-002,3,David A. Sullivan,David,David,Sullivan,M,Teacher,Enseignant,FALSE,FALSE,Torbay,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NDP,NPD
GE.36.1997,3600,ED10-003,1,George Baker,George,George,Baker,M,Politician,Politicien,TRUE,TRUE,Gander,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Liberal,Libéral
GE.36.1997,3600,ED10-003,2,Todd Barker,Todd,Todd,Barker,M,Student,Étudiant,FALSE,FALSE,Grand Falls-Windsor,Newfoundland and Labrador,Terre-Neuve-et-Labrador,PC,PC
GE.36.1997,3600,ED10-003,3,Mary Shortall,Mary,Mary,Shortall,F,Customer Sales Agent,Représentante des ventes,FALSE,FALSE,St. John's,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NDP,NPD
GE.36.1997,3600,ED10-004,1,Art Bull,Art,Art,Bull,M,Retired,Retraité,FALSE,FALSE,Corner Brook,Newfoundland and Labrador,Terre-Neuve-et-Labrador,PC,PC
GE.36.1997,3600,ED10-004,2,Gerry Byrne,Gerry,Gerry,Byrne,M,Politician,Politicien,TRUE,TRUE,Corner Brook,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Liberal,Libéral
GE.36.1997,3600,ED10-004,3,Joan Scott,Joan,Joan,Scott,F,University Teacher,Professeure d'université,FALSE,FALSE,St. John's,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NDP,NPD
GE.36.1997,3600,ED10-004,4,Randy Wells,Randy,Randy,Wells,M,Self-employed,Travailleur autonome,FALSE,FALSE,Corner Brook,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Reform,Réforme
GE.36.1997,3600,ED10-005,1,Randy Collins,Randy,Randy,Collins,M,U.S.W.A. Representative,Représentant syndical U.S.W.A.,FALSE,FALSE,Labrador City,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NDP,NPD
GE.36.1997,3600,ED10-005,2,Stephane Girardin,Stephane,Stephane,Girardin,M,Business Owner,Propriétaire d'entreprise,FALSE,FALSE,Mount Pearl,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Reform,Réforme
GE.36.1997,3600,ED10-005,3,Lawrence David O'Brien,Lawrence,Lawrence,O'Brien,M,Politician,Politicien,TRUE,TRUE,Happy Valley-Goose Bay,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Liberal,Libéral
GE.36.1997,3600,ED10-005,4,Mike Patton,Mike,Mike,Patton,M,Assistant to PC Party Leader,Adjoint au chef du P.-C.,FALSE,FALSE,Nepean,Ontario,Ontario,PC,PC
GE.36.1997,3600,ED10-006,1,Norman E. Doyle,Norman,Norman,Doyle,M,Retired,Retraité,FALSE,TRUE,St. John's,Newfoundland and Labrador,Terre-Neuve-et-Labrador,PC,PC
GE.36.1997,3600,ED10-006,2,Bonnie Hickey,Bonnie,Bonnie,Hickey,F,Politician,Politicienne,TRUE,FALSE,Chamberlains,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Liberal,Libéral
GE.36.1997,3600,ED10-006,3,Michael T. Rayment,Michael,Michael,Rayment,M,Computer System Manager,Gestionnaire de systèmes informatiques,FALSE,FALSE,St. John's,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Natural Law,Loi Naturelle
GE.36.1997,3600,ED10-006,4,David Tulett,David,David,Tulett,M,Associate Professor,Professeur adjoint,FALSE,FALSE,St. John's,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Reform,Réforme
GE.36.1997,3600,ED10-006,5,Ted Warren,Ted,Ted,Warren,M,Journalist,Journaliste,FALSE,FALSE,St. John's,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NDP,NPD
GE.36.1997,3600,ED10-006,6,Jonathan C. Whalen,Jonathan,Jonathan,Whalen,M,Writer-Musician,Écrivain-Musicien,FALSE,FALSE,St. John's,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Green,Vert
GE.36.1997,3600,ED10-007,1,Rex Gibbons,Rex,Rex,Gibbons,M,Geologist (P.Geo.),Géologue,FALSE,FALSE,St. John's,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Liberal,Libéral
GE.36.1997,3600,ED10-007,2,Lee Ingram,Lee,Lee,Ingram,M,Food Service Worker,Travailleur en services alimentaires,FALSE,FALSE,St. John's,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NDP,NPD
GE.36.1997,3600,ED10-007,3,Charlie Power,Charlie,Charlie,Power,M,Self-employed,Travailleur autonome,FALSE,TRUE,St. John's,Newfoundland and Labrador,Terre-Neuve-et-Labrador,PC,PC
GE.36.1997,3600,ED10-007,4,Michael Rendell,Michael,Michael,Rendell,M,Systems Programmer,Programmeur de systèmes,FALSE,FALSE,St. John's,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Natural Law,Loi Naturelle
GE.36.1997,3600,ED10-007,5,Harold Silas Ruby,Harold,Harold,Ruby,M,Salesman,Vendeur,FALSE,FALSE,Goulds,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Reform,Réforme
GE.36.1997,3600,ED11-001,1,Larry Duchesne,Larry,Larry,Duchesne,M,Teacher,Enseignant,FALSE,FALSE,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,NDP,NPD
GE.36.1997,3600,ED11-001,2,Dan Hughes,Dan,Dan,Hughes,M,Businessman,Homme d'affaires,FALSE,FALSE,Montague,Prince Edward Island,Île-du-Prince-Édouard,PC,PC
GE.36.1997,3600,ED11-001,3,Lawrence MacAulay,Lawrence,Lawrence,MacAulay,M,Farmer,Fermier,TRUE,TRUE,St. Peters Bay,Prince Edward Island,Île-du-Prince-Édouard,Liberal,Libéral
GE.36.1997,3600,ED11-002,1,John J. MacDonald,John,John,MacDonald,M,Farmer,Fermier,FALSE,FALSE,St. Nicholas,Prince Edward Island,Île-du-Prince-Édouard,PC,PC
GE.36.1997,3600,ED11-002,2,Joe McGuire,Joe,Joe,McGuire,M,Member of Parliament,Député,TRUE,TRUE,Tyne Valley,Prince Edward Island,Île-du-Prince-Édouard,Liberal,Libéral
GE.36.1997,3600,ED11-002,3,Adelard Pitre,Adelard,Adelard,Pitre,M,Retired Instructor,Instructeur retraité,FALSE,FALSE,Richmond,Prince Edward Island,Île-du-Prince-Édouard,NDP,NPD
GE.36.1997,3600,ED11-003,1,Dolores Crane,Dolores,Dolores,Crane,F,Lawyer,Avocate,FALSE,FALSE,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,NDP,NPD
GE.36.1997,3600,ED11-003,2,Blaine Jensen,Blaine,Blaine,Jensen,M,Educational Administrator,Administrateur de l'enseignement,FALSE,FALSE,Cornwall,Prince Edward Island,Île-du-Prince-Édouard,Reform,Réforme
GE.36.1997,3600,ED11-003,3,Baird Judson,Baird,Baird,Judson,M,Professor,Professeur,FALSE,FALSE,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,Christian Heritage,l'Héritage Chrétien
GE.36.1997,3600,ED11-003,4,Paula Price,Paula,Paula,Price,F,Artist,Artiste,FALSE,FALSE,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,Natural Law,Loi Naturelle
GE.36.1997,3600,ED11-003,5,George Proud,George,George,Proud,M,Property Supervisor,Surveillant des biens,TRUE,TRUE,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,Liberal,Libéral
GE.36.1997,3600,ED11-003,6,Mitchell G. Tweel,Mitchell,Mitchell,Tweel,M,Self-employed,Travailleur autonome,FALSE,FALSE,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,PC,PC
GE.36.1997,3600,ED11-004,1,Wayne Easter,Wayne,Wayne,Easter,M,Farmer,Fermier,TRUE,TRUE,North Wiltshire,Prince Edward Island,Île-du-Prince-Édouard,Liberal,Libéral
