election_id,party_abbreviation_english_anglais,abréviation_de_parti_français_french,political_affiliation_name_english_anglais,appartenance_politique_français_french
GE.36.1997,Abolitionist,Abolitionniste,Abolitionist Party of Canada,Parti Abolitionniste du Canada
GE.36.1997,Bloc,Bloc,Bloc Québécois,Bloc Québécois
GE.36.1997,Canada Party,Parti Canada,Canada Party,Parti Canada
GE.36.1997,Canadian Action,Parti Action,Canadian Action Party,Parti Action Canadienne
GE.36.1997,Christian Heritage,l'Héritage Chrétien,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada
GE.36.1997,Commonwealth Party,Parti République,Party for the Commonwealth of Canada,Parti pour la République du Canada
GE.36.1997,Communist,Communiste,Communist Party of Canada,Parti Communiste du Canada
GE.36.1997,Green,Vert,The Green Party of Canada,Le Parti Vert du Canada
GE.36.1997,Independent,Indépendent,Independent,Indépendent
GE.36.1997,Liberal,Libéral,Liberal Party of Canada,Parti Libéral du Canada
GE.36.1997,Libertarian,Libertarien,Libertarian Party of Canada,Parti Libertarien du Canada
GE.36.1997,MarxLen,MarxLen,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada
GE.36.1997,National Party,Parti National,National Party of Canada,Parti National du Canada
GE.36.1997,NDP,NPD,New Democratic Party,Nouveau Parti Démocratique
GE.36.1997,Nil,Nil,No Affiliation,Aucune Appartenance
GE.36.1997,Natural Law,Loi Naturelle,Natural Law Party of Canada,Parti de la Loi Naturelle du Canada
GE.36.1997,PC,PC,Progressive Conservative Party of Canada,Parti Progressiste-Conservateur du Canada
GE.36.1997,Rainbow Coalition,Coalition Arc-en-Ciel,Rainbow Coalition Party of Canada,Parti Coalition Arc-en-Ciel du Canada
GE.36.1997,Reform,Réforme,Reform Party of Canada,Le Parti Réformiste du Canada
GE.37.2000,Bloc,Bloc,Bloc Québécois,Bloc Québécois
GE.37.2000,Canadian Alliance,Alliance Canadienne,Canadian Reform Conservative Alliance,l'Alliance Réformiste Conservatrice Canadienne
GE.37.2000,Canadian Action,Parti Action,Canadian Action Party,Parti Action Canadienne
