redistribution_boundaries,canadian_province,province_canadienne,electoral_district_number_numéro_de_circonscription,electoral_district_name_english_anglais,electoral_district_name_english_anglais2,nom_de_circonscription_français_french,nom_de_circonscription_français_french2
1996,Alberta,Alberta,ED48-001,Athabasca,Athabasca,Athabasca,Athabasca
1996,Alberta,Alberta,ED48-002,Calgary Centre,Calgary Centre,Calgary-Centre,Calgary-Centre
1996,Alberta,Alberta,ED48-003,Calgary East,Calgary East,Calgary-Est,Calgary-Est
1996,Alberta,Alberta,ED48-004,Calgary Northeast,Calgary Northeast,Calgary-Nord-Est,Calgary-Nord-Est
1996,Alberta,Alberta,ED48-005,Calgary--Nose Hill,Calgary—Nose Hill,Calgary--Nose Hill,Calgary—Nose Hill
1996,Alberta,Alberta,ED48-006,Calgary Southeast,Calgary Southeast,Calgary-Sud-Est,Calgary-Sud-Est
1996,Alberta,Alberta,ED48-007,Calgary Southwest,Calgary Southwest,Calgary-Sud-Ouest,Calgary-Sud-Ouest
1996,Alberta,Alberta,ED48-008,Calgary West,Calgary West,Calgary-Ouest,Calgary-Ouest
1996,Alberta,Alberta,ED48-009,Crowfoot,Crowfoot,Crowfoot,Crowfoot
1996,Alberta,Alberta,ED48-010,Edmonton East,Edmonton East,Edmonton-Est,Edmonton-Est
1996,Alberta,Alberta,ED48-011,Edmonton North,Edmonton North,Edmonton-Nord,Edmonton-Nord
1996,Alberta,Alberta,ED48-012,Edmonton Southeast,Edmonton Southeast,Edmonton-Sud-Est,Edmonton-Sud-Est
1996,Alberta,Alberta,ED48-013,Edmonton Southwest,Edmonton Southwest,Edmonton-Sud-Ouest,Edmonton-Sud-Ouest
1996,Alberta,Alberta,ED48-014,Edmonton--Strathcona,Edmonton—Strathcona,Edmonton--Strathcona,Edmonton—Strathcona
1996,Alberta,Alberta,ED48-015,Edmonton West,Edmonton West,Edmonton-Ouest,Edmonton-Ouest
1996,Alberta,Alberta,ED48-016,Elk Island,Elk Island,Elk Island,Elk Island
1996,Alberta,Alberta,ED48-017,Lakeland,Lakeland,Lakeland,Lakeland
1996,Alberta,Alberta,ED48-018,Lethbridge,Lethbridge,Lethbridge,Lethbridge
1996,Alberta,Alberta,ED48-019,Macleod,Macleod,Macleod,Macleod
1996,Alberta,Alberta,ED48-020,Medicine Hat,Medicine Hat,Medicine Hat,Medicine Hat
1996,Alberta,Alberta,ED48-021,Peace River,Peace River,Peace River,Peace River
1996,Alberta,Alberta,ED48-022,Red Deer,Red Deer,Red Deer,Red Deer
1996,Alberta,Alberta,ED48-023,St. Albert,St. Albert,St. Albert,St. Albert
1996,Alberta,Alberta,ED48-024,Wetaskiwin,Wetaskiwin,Wetaskiwin,Wetaskiwin
1996,Alberta,Alberta,ED48-025,Wild Rose,Wild Rose,Wild Rose,Wild Rose
1996,Alberta,Alberta,ED48-026,Yellowhead,Yellowhead,Yellowhead,Yellowhead
1996,British Columbia,Colombie-Britannique,ED59-001,Burnaby--Douglas,Burnaby—Douglas,Burnaby--Douglas,Burnaby—Douglas
1996,British Columbia,Colombie-Britannique,ED59-002,Cariboo--Chilcotin,Cariboo—Chilcotin,Cariboo--Chilcotin,Cariboo—Chilcotin
1996,British Columbia,Colombie-Britannique,ED59-003,Delta--South Richmond,Delta—South Richmond,Delta--South Richmond,Delta—South Richmond
1996,British Columbia,Colombie-Britannique,ED59-004,Dewdney--Alouette,Dewdney—Alouette,Dewdney--Alouette,Dewdney—Alouette
1996,British Columbia,Colombie-Britannique,ED59-005,Esquimalt--Juan de Fuca,Esquimalt—Juan de Fuca,Esquimalt--Juan de Fuca,Esquimalt—Juan de Fuca
1996,British Columbia,Colombie-Britannique,ED59-006,Fraser Valley,Fraser Valley,Fraser Valley,Fraser Valley
1996,British Columbia,Colombie-Britannique,ED59-007,Kamloops,Kamloops,Kamloops,Kamloops
1996,British Columbia,Colombie-Britannique,ED59-008,Kelowna,Kelowna,Kelowna,Kelowna
1996,British Columbia,Colombie-Britannique,ED59-009,Kootenay--Columbia,Kootenay—Columbia,Kootenay--Columbia,Kootenay—Columbia
1996,British Columbia,Colombie-Britannique,ED59-010,Langley--Abbotsford,Langley—Abbotsford,Langley--Abbotsford,Langley—Abbotsford
1996,British Columbia,Colombie-Britannique,ED59-011,Nanaimo--Alberni,Nanaimo—Alberni,Nanaimo--Alberni,Nanaimo—Alberni
1996,British Columbia,Colombie-Britannique,ED59-012,Nanaimo--Cowichan,Nanaimo—Cowichan,Nanaimo--Cowichan,Nanaimo—Cowichan
1996,British Columbia,Colombie-Britannique,ED59-013,New Westminster--Coquitlam--Burnaby,New Westminster—Coquitlam—Burnaby,New Westminster--Coquitlam--Burnaby,New Westminster—Coquitlam—Burnaby
1996,British Columbia,Colombie-Britannique,ED59-014,Okanagan--Shuswap,Okanagan—Shuswap,Okanagan--Shuswap,Okanagan—Shuswap
1996,British Columbia,Colombie-Britannique,ED59-015,North Vancouver,North Vancouver,North Vancouver,North Vancouver
1996,British Columbia,Colombie-Britannique,ED59-016,Okanagan--Coquihalla,Okanagan—Coquihalla,Okanagan--Coquihalla,Okanagan—Coquihalla
1996,British Columbia,Colombie-Britannique,ED59-017,Port Moody--Coquitlam,Port Moody—Coquitlam,Port Moody--Coquitlam,Port Moody—Coquitlam
1996,British Columbia,Colombie-Britannique,ED59-018,Prince George--Bulkley Valley,Prince George—Bulkley Valley,Prince George--Bulkley Valley,Prince George—Bulkley Valley
