year,party,votes,national_share
2000,Bloc Québécois,1377727,0.10715129284052534
2000,Canadian Action Party,27103,0.002107907800207703
2000,Canadian Reform Conservative Alliance,3276929,0.25485976459531523
2000,Communist Party of Canada,8776,0.0006825443255220014
2000,Green Party of Canada,104402,0.008119757597213763
2000,Independent,17445,0.0013567668366831487
2000,Liberal Party of Canada,5252031,0.4084712803686921
2000,Marijuana Party,66258,0.005153147438518319
2000,Marxist-Leninist Party of Canada,12068,0.0009385762215587412
2000,Natural Law Party of Canada,16577,0.0012892590342044458
2000,New Democratic Party,1093868,0.08507445262877171
2000,No Affiliation,37591,0.0029236011555033676
2000,Progressive Conservative Party of Canada,1566998,0.12187164915728409
2004,Bloc Québécois,1680109,0.12385889494660479
2004,Canadian Action Party,8807,0.000649258642025457
2004,Christian Heritage Party,40335,0.002973526436481981
2004,Communist Party of Canada,4426,0.00032628803787949044
2004,Conservative Party of Canada,4019498,0.2963204057118247
2004,Green Party of Canada,582247,0.04292368531206952
2004,Independent,47068,0.0034698882437668
2004,Liberal Party of Canada,4982220,0.36729299324083936
2004,Libertarian Party of Canada,1949,0.00014368174103640462
2004,Marijuana Party,33276,0.0024531316648165216
2004,Marxist-Leninist Party of Canada,8696,0.0006410756388160978
2004,New Democratic Party,2127403,0.1568337439333352
2004,No Affiliation,17796,0.0013119344604842775
2004,Progressive Canadian Party,10872,0.00080149199001939
2006,Animal Alliance Environment Voters Party of Canada,72,4.859231111713116e-06
2006,Bloc Québécois,1553201,0.10482448086033226
2006,Canadian Action Party,6102,0.0004118198367176866
2006,Christian Heritage Party of Canada,28152,0.0018999593646798283
2006,Communist Party of Canada,3022,0.00020395272804995884
2006,Conservative Party of Canada,5374071,0.362692402774378
2006,First Peoples National Party of Canada,1201,8.105467451621461e-05
2006,Green Party of Canada,664068,0.04481749841518202
2006,Independent,76696,0.005176160963110405
2006,Liberal Party of Canada,4479415,0.30231267680936674
2006,Libertarian Party of Canada,3002,0.00020260294163003853
2006,Marijuana Party,9171,0.0006189445628544581
2006,Marxist-Leninist Party of Canada,8980,0.0006060541025442192
2006,New Democratic Party,2589597,0.17477014318331874
2006,No Affiliation,5164,0.000348514853623424
2006,Progressive Canadian Party,14151,0.0009550413814146153
2006,Western Block Party,1094,7.383331716964096e-05
2008,Animal Alliance Environment Voters Party of Canada,527,3.80937400925555e-05
2008,Bloc Québécois,1379991,0.0997514582240337
2008,Canadian Action Party,3455,0.00024974169263715227
2008,Christian Heritage Party of Canada,26475,0.0019137225217275274
2008,Communist Party of Canada,3572,0.0002581989366425204
2008,Conservative Party of Canada,5209069,0.37653305618631494
2008,First Peoples National Party of Canada,1611,0.00011644974438160704
2008,Green Party of Canada,937613,0.06777454635560008
2008,Independent,89387,0.006461262135964437
2008,Liberal Party of Canada,3633185,0.2626216415525071
2008,Libertarian Party of Canada,7300,0.0005276741986255316
2008,Marijuana Party,2298,0.00016610894636184543
2008,Marxist-Leninist Party of Canada,8565,0.0006191136316750244
2008,New Democratic Party,2515288,0.18181542187841318
2008,Newfoundland and Labrador First Party,1713,0.00012382272633500489
2008,No Affiliation,5457,0.00039445453450678435
2008,People's Political Power Party of Canada,186,1.3444849444431353e-05
2008,Progressive Canadian Party,5860,0.0004235850416363856
2008,Western Block Party,195,1.4095406675613515e-05
2008,Work Less Party,425,3.0720758139157665e-05
2008,neorhino.ca,2122,0.00015338693828539424
2011,Animal Alliance Environment Voters Party of Canada,1344,9.12796675898772e-05
2011,Bloc Québécois,891425,0.06054239410811479
2011,Canadian Action Party,1951,0.00013250493412786488
