election_year,tweet_id,created_at,content,lang,username,display_name,user_location,followers,following,statuses,verified,retweet_count,like_count,reply_count,place_name,country,source
2021,1439741065381105667,2021-09-19T23:59:53.000Z,@Norm_Farrell Were the members of BC Hydro's Board of Directors just passivily rubber stamping whatever Hydro's engineers and Premier Clark and the Liberal caucus wanted to do?,en,egwiens,Elmer Wiens,"Vancouver, B.C.",561,1712,10202,False,0,0,1,,,x_api
2021,1439741064672423944,2021-09-19T23:59:53.000Z,"@seriouslynots3r @Peypeys_mom @CTVNews No ppc members are doing that. The guy arrested for throwing rocks was ppc manager from Ontario. 

Marc emery of PPC Hamilton called for the execution of Trudeau.  That’s called terrorism. https://t.co/Wi3v45dIYR",en,WoodfordTren,Woodford Trenholm,,3,19,1544,False,0,0,2,,,x_api
2021,1439741010079358976,2021-09-19T23:59:40.000Z,"@YvonneYYZ @Chibi_Matt @mkmilitarymom @CBCAlerts He is the Liberal candidate for that riding. Nothing can change that. If he wins, it's a win for the Liberal Party. He'll be ejected from caucus immediately at that point by Trudeau bc Trudeau can't do it until Vuoung wins. He is their candidate &amp; not even Vuoung can change that.",en,CindyChow85,Cindy Chow,New York ,17,77,300,False,0,0,0,,,x_api
2021,1439740930605531140,2021-09-19T23:59:21.000Z,"@globalnews O'TOOL, JUST LIKE TRUDEAU AND SINGH, wants a National Vaccine Program to FORCE vaccines.
MAX BERNIER and the PPC are the ONLY Party that will NOT force vaccine mandates on Canadians and stop the endless resrictions and shut-downs.
I want a FREE Canada again.
I'm voting PPC. 🇨🇦🇨🇦",en,John44361017,John,,54,123,8980,False,0,0,0,,,x_api
2021,1439740866948734978,2021-09-19T23:59:06.000Z,@Humanlty1o1 I feel it is because Trudeau is to close with China. He sent our PPE.  He sent our CPP money over there to invest in God who knows what.  He isn't making any waves about the two Michaels.  He is in Chinas back pocket and therefore so is Canada,en,Canadianwithat1,Canadian,,456,641,38837,False,2,6,0,,,x_api
2021,1439740786984239110,2021-09-19T23:58:47.000Z,CANADA VOTES TOMORROW! SEPT.20th. Please get out and vote.  Vote Liberal so our country can remain on the right path.  Please retweet.,en,GSmokesweed1,Grandma Smokesweed,,56176,5812,348730,False,6,18,0,,,x_api
2021,1439740736686206980,2021-09-19T23:58:35.000Z,"@HedyFry @liberal_party @LPCBC Vote for @erinotoole the leader Canada needs. Get rid of our useless PM @JustinTrudeau, he is a liar, corrupt and incompetent. And to call an election in the middle of a pandemic, unconscionable, he would put the health and safety of Canadians at risk to further his selfish ways.",en,RoseSte00587059,Rose Stephenson,,97,150,789,False,0,0,0,,,x_api
2021,1439740701726629888,2021-09-19T23:58:27.000Z,"@cherielle100 Dàilleurs , des groupements se sont formé...Pour le moment je ne peut en dire plus...La situation social va changer...si trudeau rentre au pouvoir la fin du quebec y sera car legault entrera a 100%",fr,sqverite,sqverite,,1130,3260,67456,False,0,0,0,,,x_api
2021,1439740681925312513,2021-09-19T23:58:22.000Z,"@nkalamb I was told again yesterday that this of course is a Canadian government plan to cull the population as part of Trudeau’s “great reset.” Every time I hear that a little part of my brain dies, and a little part of my soul yells ‘abandon ship’",en,IanKennedyCK,Ian Kennedy,"Chatham-Kent, Canada",11716,377,18940,False,0,1,1,,,x_api
2021,1439740627604889601,2021-09-19T23:58:09.000Z,"@peoplespca @PremierScottMoe Trudeau is the worst thing for Canada!  Unfortunately, vote splitting will likely lead to that outcome.  I have to Conservative.",en,AlanDan68624758,Alan Daniel,"Caledon, Ontario",7,19,300,False,0,0,0,,,x_api
2021,1439740569761222656,2021-09-19T23:57:55.000Z,Canada’s place in the world under Justin Trudeau. https://t.co/byRQSbhyTl,en,KennethSPower,Ken Power,,1971,3500,16037,False,0,0,0,,,x_api
2021,1439740510349021186,2021-09-19T23:57:41.000Z,@JustinTrudeau in 6 years trudeau made canada #1 between the  countrys arround the world,en,hussni_malas,Hussni,Yaman,21,22,4315,False,0,0,0,,,x_api
